Word,Frequency,Original Loading,Transformed Loading
i,0.032497149372862,-0.08918736234597549,-0.19130622603903466
what,0.00216647662485739,-0.5620525930112004,-0.73036039906925
and,0.00216647662485739,-0.2880454679930094,-0.28306194168141713
shall,0.00216647662485739,-0.7959220893023521,-0.6437233669293911
to,0.00216647662485739,-0.9679255517710377,-0.8553953007257512
we,0.001083238312428695,-0.5338915261581515,-0.3828926107201851
yes,0.001083238312428695,-0.21490765063397274,-0.7534888176766634
great,0.001083238312428695,-0.5368226675778562,-0.45620366335770346
form,0.001083238312428695,-0.5466862167674459,-0.6404804011015661
loved,0.001083238312428695,1.759389670402199,0.8507073967001195
they,0.0054161915621436674,-0.12679072451777823,-0.24154779307227373
would,0.0075826681870010525,0.10800826916991244,0.24022757258866118
least,0.001083238312428695,0.7039036686957366,0.4783662823915346
others,0.001083238312428695,-0.25290341204325195,-0.37410065376400403
a,0.00324971493728618,-0.330923451923112,-0.3490992088523658
thus,0.001083238312428695,-0.04468537404940761,0.18070100088514468
ever,0.00324971493728618,-0.021433398903483353,-0.02516635276127129
tell,0.001083238312428695,-0.03207395481622839,-0.41774059855299733
is,0.001083238312428695,-0.13587477364656886,0.12548799074610012
think,0.00216647662485739,0.6338197440508893,0.4449826584776774
god,0.00324971493728618,-1.633119438809242,-1.5726550633290342
stop,0.001083238312428695,-0.10168758453706699,-0.3192675301184318
way,0.00216647662485739,-0.15522424361251477,-0.12898478595122498
the,0.0043329532497148725,-1.2877095324341004,-1.101352435026698
done,0.001083238312428695,-0.053695694144225946,-0.19413218697235085
if,0.00324971493728618,-0.16707557443944165,-0.23157632444210016
open,0.001083238312428695,-0.12651861654855964,-0.4217149706486252
mouth,0.001083238312428695,0.7272388686694722,0.41617550412215554
could,0.00974914481185854,0.11588565025405113,0.19449472037763654
loss,0.001083238312428695,0.12133650937845712,0.0782146145627799
woman,0.00216647662485739,4.963229301513182,4.811785719344943
man,0.00216647662485739,-3.0426120756557657,-3.0096101870406864
lose,0.00216647662485739,-0.2858270032353285,-0.5802279506676176
believe,0.001083238312428695,-0.40681308512247377,-0.45208675137556725
see,0.0043329532497148725,-0.35796060215200726,-0.5748474924238216
she,0.00216647662485739,5.51008021879046,4.766887742437964
without,0.001083238312428695,0.1419574820289292,0.07598746323237841
unnecessary,0.001083238312428695,-0.7575964993114843,-0.913762418673576
he,0.0043329532497148725,-2.499017566468539,-2.5043231589371535
leave,0.001083238312428695,0.26151677156430175,-0.0940246373920669
it,0.0054161915621436674,0.38371580458693866,0.5542277050617495
well,0.00324971493728618,-0.06833492187256286,-0.14336716615384273
must,0.001083238312428695,0.1454392381994885,0.25217639739292197
world,0.00324971493728618,-0.23667409526656996,-0.10047347600483596
content,0.001083238312428695,-0.07468883658398108,-0.5958836199360913
brought,0.001083238312428695,0.32973947689201066,-0.056755058773062174
us,0.00216647662485739,-0.5825157189636231,-0.40552046409684533
one,0.00649942987457236,-0.3853732533978681,-0.23273081537082474
away,0.001083238312428695,0.5128113655642103,0.25497961841101163
men,0.0043329532497148725,-2.3782640106116957,-2.434061440695908
my,0.001083238312428695,0.2695605418762459,-0.3643143064421791
got,0.001083238312428695,-0.1897556372434297,-0.3050066143450495
two,0.001083238312428695,-0.38343988489637437,-0.6138927242694802
speak,0.001083238312428695,-0.350545213006801,-0.3988220660665302
came,0.00216647662485739,0.008036361757722708,-0.11984712044673076
no,0.00216647662485739,-0.22172261020359976,-0.44638871526937873
mad,0.001083238312428695,-0.2014890862107102,-0.5012360722146545
became,0.001083238312428695,-0.6673444290241981,-0.7005073859098163
destruction,0.001083238312428695,-1.2815726079457017,-1.1728338623247758
bless,0.001083238312428695,-0.5928720843461804,-1.3580892860967726
head,0.00216647662485739,-0.1740016208306719,-0.17268157786551025
parents,0.001083238312428695,3.0281399606074855,2.332230646744659
might,0.00324971493728618,0.09010300244916557,0.08504294293445276
weary,0.001083238312428695,0.2507755336681169,-0.3667187359848233
understanding,0.001083238312428695,0.15678691069503176,0.1278234824498253
third,0.001083238312428695,-0.24122663837832453,-0.18910613707271917
people,0.00324971493728618,-0.28517161394082524,-0.007915581489296058
go,0.00324971493728618,-0.4600466103049068,-0.7051313221011324
left,0.001083238312428695,0.07101669256927415,0.07034982854714615
little,0.0054161915621436674,0.9111051490646748,0.6038713530162699
time,0.0054161915621436674,-0.48739341274849524,-0.5585605149933942
like,0.00324971493728618,0.2970338924030907,0.10216666005839747
many,0.00324971493728618,-0.14288213963032093,-0.27165825503879104
take,0.00216647662485739,-0.09512876048598941,-0.30039101438501203
all,0.00216647662485739,-0.07619559326999817,-0.0949471262142943
seen,0.001083238312428695,-0.06584822514001352,-0.3532829151279569
neither,0.001083238312428695,-0.3345389256347229,-0.3835627867527132
even,0.00324971493728618,0.6877605240095299,0.7257463318842656
seem,0.001083238312428695,0.5859495330710787,0.22977270877857897
know,0.001083238312428695,-0.162932540782763,-0.6952019777023078
never,0.00216647662485739,-0.3716411408611026,-0.5840138820625915
thought,0.00216647662485739,0.4852417220483546,0.1107775658004887
thing,0.0043329532497148725,0.61462479021015,0.5559227681922689
this,0.001083238312428695,-0.35482731147724555,-0.33909396300010786
question,0.00216647662485739,-0.42253602168711585,-0.209449621893297
ca,0.001083238312428695,0.09891087511398472,-0.04921536633679469
say,0.00324971493728618,-0.29870967038134755,-0.48351380271791305
but,0.00649942987457236,0.21043162976886354,0.10988431439618936
although,0.001083238312428695,0.4689976950765842,0.31802845334924634
called,0.001083238312428695,-0.18380969835674427,-0.08926324829060599
wicked,0.001083238312428695,0.6633018074708805,0.25446249050878034
upon,0.001083238312428695,0.0196607535377618,0.035079130816752346
give,0.001083238312428695,-0.39381494300466297,-0.49385542491780876
back,0.001083238312428695,0.04987718232210923,0.17576850694160695
always,0.001083238312428695,0.6572887835048444,0.3863133151602432
heads,0.001083238312428695,-0.3090917023913626,-0.5188762772411495
country,0.00216647662485739,-0.41280620518454514,-0.208431073826662
moment,0.001083238312428695,0.05968878737776197,0.11666476183402749
life,0.001083238312428695,0.0521684519955667,-0.16827351103444604
things,0.008665906499429847,0.7360636804820027,0.6835329182777623
took,0.001083238312428695,-0.03892521462140338,-0.3845556129809262
eternity,0.001083238312428695,-0.012056932934822111,-0.47325180341438156
fellow,0.001083238312428695,-1.136102806914081,-0.9277079002342541
father,0.001083238312428695,-1.1827807098708003,-1.9306468797290506
find,0.00324971493728618,-0.19667856170513004,-0.21155500631383078
much,0.001083238312428695,0.661646963799155,0.3203545124690398
make,0.0054161915621436674,-0.12150172584686303,-0.31447517051644197
rather,0.001083238312428695,1.0398118989645713,0.4133109137336355
save,0.001083238312428695,-0.7952368482067504,-1.0155930051481912
looking,0.001083238312428695,-0.13333350829286925,-0.7544084298564497
seemed,0.0043329532497148725,0.9774021579909228,0.5537177508780683
spirit,0.001083238312428695,-0.741408888275732,-0.6676113860967676
keep,0.001083238312428695,-0.10509087294366484,-0.3743458800871717
bold,0.001083238312428695,-0.9430227220522648,-1.2412702300865914
faces,0.001083238312428695,0.6453290466706904,0.022364338491272055
habits,0.001083238312428695,0.4900909152066597,0.42550566992409833
sensations,0.001083238312428695,1.078995211145009,0.5248873442347188
still,0.00324971493728618,0.2459907877219108,0.2906461335869523
there,0.001083238312428695,-0.312723858753391,-0.5162586515389588
quite,0.00216647662485739,1.1060492391258494,0.8052794567523766
right,0.001083238312428695,-0.3034315736074089,-0.3949216064712143
opinion,0.001083238312428695,-0.5897216792272701,-0.23893959910162596
kind,0.00216647662485739,-0.12239689390796742,-0.38469780032051404
among,0.001083238312428695,-1.0283215402105061,-1.0473671475537778
mind,0.00216647662485739,-0.06656239401600209,-0.3456744248846706
eyes,0.00216647662485739,1.0668969698312172,0.4466944591230918
ignorant,0.00216647662485739,0.06077725797758021,-0.2601230562721621
story,0.00216647662485739,0.2676264924451782,0.2947922325730207
may,0.00324971493728618,-0.20051348741325872,-0.055960046415046094
stupid,0.00216647662485739,0.9297533329185228,0.17414673641660802
false,0.001083238312428695,-0.24379410095358747,-0.10315121345485594
however,0.001083238312428695,-0.3992541500251116,-0.47866968728323195
soon,0.001083238312428695,0.15287730432714136,-0.018761020846653053
said,0.0054161915621436674,-0.5043954114228816,-0.40357142648457056
around,0.001083238312428695,0.17150847239692432,0.1733631676405651
understand,0.001083238312428695,-0.10531988357830169,-0.24278880553911653
taught,0.001083238312428695,-0.42737597997435534,-0.5161466708382257
why,0.001083238312428695,0.01652488431963827,-0.14109520257432212
that,0.00324971493728618,-0.19441179138293055,-0.11716886301606766
girl,0.001083238312428695,3.7911910462041334,3.1122727206693446
looked,0.001083238312428695,0.8486807951531737,0.33363046945526653
laugh,0.001083238312428695,1.2385734150525112,0.8543207324662573
language,0.001083238312428695,-0.5066212353744646,-0.4254077923028917
while,0.001083238312428695,-0.41938824504623157,-0.4533650616376873
sight,0.001083238312428695,0.44318323369572354,0.2545594568720848
work,0.001083238312428695,-0.2933958388794668,-0.24379466896597565
quietly,0.001083238312428695,0.1136994076645659,0.0946690432156662
capacity,0.001083238312428695,-0.27447740148004934,-0.07722383373317662
unpleasant,0.001083238312428695,0.9256210071198676,0.4177425413499963
soul,0.001083238312428695,-0.020174773195078717,-0.07637693405945839
friend,0.001083238312428695,-1.0210711135485497,-0.9887978147778391
cried,0.001083238312428695,0.4867149175439838,0.23065791094930144
looks,0.00216647662485739,-0.6685851946405623,-0.7944503320271038
faculty,0.001083238312428695,-0.32512223372731736,0.027544906330478375
three,0.001083238312428695,0.04252853149390464,0.021591694262864176
american,0.00216647662485739,-0.10765897658674825,-0.1994548458121777
year,0.00324971493728618,-0.32708552090102905,-0.2636975780851259
here,0.001083238312428695,-0.6562327111380135,-0.646739586061456
contempt,0.001083238312428695,-0.00822513896921046,-0.0295865014757573
glory,0.001083238312428695,-0.4077421089759173,-0.6154928664704183
degree,0.001083238312428695,-0.4455666714648231,-0.3233587861802848
gentleman,0.001083238312428695,-0.9492148101226874,-0.9982714800592406
means,0.001083238312428695,-0.4100951888660558,-0.21824759349248168
suddenly,0.001083238312428695,0.35427832400262277,0.1639534302124916
get,0.00324971493728618,-0.14417508235139492,-0.21811914485667544
says,0.001083238312428695,-1.16972847355785,-1.042527639966769
guess,0.001083238312428695,-0.05198677210861422,-0.24842116154734345
laughed,0.00216647662485739,1.607065169860507,1.102126952906523
long,0.001083238312428695,-0.054501839903248396,-0.060433661270575256
how,0.001083238312428695,0.11961657646053947,0.03052814870399135
