Word,Frequency,Original Loading,Transformed Loading
i,0.05139344262295081,0.3683494071102807,-0.3250262480259537
what,0.003893442622950815,-0.3600280817849664,-0.4208666428200109
and,0.0023360655737704695,-0.06084278442842232,-0.003077115171924316
whether,0.0007786885245901246,0.8885220176386243,0.5256244934823713
made,0.0015573770491802493,-0.08212707352537282,-0.3280466076948852
to,0.0015573770491802493,-0.6455490024915581,-0.4154700274466885
we,0.003893442622950815,0.051720317416465246,0.10165539712790203
yes,0.0007786885245901246,0.06559247884883823,0.0036068108391366926
great,0.0023360655737704695,-1.035630380749661,-0.7213310989014305
form,0.0007786885245901246,0.8836489354907924,0.4330941264602613
real,0.0015573770491802493,-0.14435084330542702,0.0932027860849203
they,0.0023360655737704695,-0.14214019336392186,-0.32794693140969455
would,0.013237704918032698,0.08213685889043625,-0.361202453774125
others,0.0023360655737704695,-0.8350639072151689,-0.733133715798226
hands,0.0007786885245901246,-0.0346937049867891,-0.4616296493990113
a,0.0015573770491802493,0.6383183211340652,0.18267513456833293
true,0.0007786885245901246,-0.330811472330518,-0.23280212623601826
ever,0.0023360655737704695,-0.10621152787703111,-0.13913955148181226
yet,0.0007786885245901246,0.5052397884865665,0.5020709824298256
sometimes,0.003893442622950815,0.8159863405658608,0.5522936395945776
hard,0.0015573770491802493,0.32246199996953184,0.7220858427180029
tell,0.0015573770491802493,0.32958045354367904,0.5792839814332634
idiot,0.0007786885245901246,-0.9772566385791046,-0.8065820989311385
trade,0.0007786885245901246,0.6304269035644069,1.0877834041622263
think,0.0015573770491802493,0.33515285752951607,0.372716064110525
makes,0.0015573770491802493,-0.07540141562570221,-0.3654781298767505
way,0.0023360655737704695,0.04154724617790223,0.08612413874754708
poor,0.0007786885245901246,0.09004432668995335,-0.013577996008196026
the,0.0015573770491802493,-0.03317793662643221,0.28307063670010574
done,0.0007786885245901246,-0.003125274603714823,0.4723417455924225
if,0.0023360655737704695,0.06367732604577432,0.25262082834519123
word,0.0007786885245901246,-0.11712297385257915,0.018674953457490893
could,0.0015573770491802493,0.3997720393826608,0.0038644768236573866
loss,0.0007786885245901246,0.34817377460047977,-0.07105071539900296
woman,0.0007786885245901246,5.577222993934048,5.511512161427541
another,0.0007786885245901246,0.5425449796725891,0.49126172388157824
man,0.0015573770491802493,-3.520463845744348,-3.356179789709716
hated,0.0023360655737704695,0.28998913228933815,-0.08428123940669636
believe,0.0007786885245901246,-0.03825116573461053,0.008383082572930725
every,0.0015573770491802493,0.15101688545445385,-0.2452128306460501
see,0.0007786885245901246,-0.01070278279360343,0.048423070118809974
young,0.0007786885245901246,0.4359512972285753,-0.36865213888560533
she,0.006229508196721286,5.41475880749562,5.311981584345971
saying,0.0015573770491802493,0.29171876315928097,0.22683016998471306
he,0.007008196721311412,-1.7701202361198298,-2.2719271841681143
already,0.0007786885245901246,-0.4688827517911025,-0.4662749038119407
