Word,Frequency,Original Loading,Transformed Loading
i,0.05020931449502873,0.47727790873619125,0.2177115622724531
what,0.004971219256933526,0.25619390358883126,0.14882171851534226
and,0.004971219256933526,0.22330546643048915,0.2880943276261077
sir,0.0009942438513867052,-0.8751338375988957,-0.5963066708880784
made,0.0019884877027734104,-0.05951676570971374,-0.1724932190998017
shall,0.0004971219256933049,-1.4415198918262089,-1.216960326233916
we,0.0019884877027734104,-0.5630209537165716,-0.29098619503831846
yes,0.0009942438513867052,0.8923069175673405,0.07555641903991558
great,0.0004971219256933049,-1.107535790783222,-0.7717516192939698
place,0.0009942438513867052,-0.5221927861257172,-0.6635499385700235
foundation,0.0004971219256933049,-0.7083368509803056,-0.3467032365644201
they,0.0024856096284667155,-0.22763462734869516,-0.18004441430639878
would,0.005965463108320227,-0.5637046468350726,-0.24494363732444277
exactly,0.0004971219256933049,0.499697076039537,0.12101725885726614
least,0.0014913657770800099,0.25423582316192345,0.28854766486835814
a,0.0024856096284667155,0.11823823744251398,0.25091279951926626
true,0.0019884877027734104,-0.5588948813097063,-0.588030633105912
come,0.0034798534798534202,-0.3631742676590277,-0.8054450642716888
ever,0.0004971219256933049,0.2532114427760986,0.1313691211397033
yet,0.0029827315541601134,-0.3434356637849535,-0.1699655871105066
sometimes,0.0009942438513867052,0.38238784393844105,0.05333509726377879
ass,0.0004971219256933049,-0.5589451439509144,-1.3476176688214418
hard,0.0014913657770800099,-0.5443975210124707,-0.7387762117634444
tell,0.0014913657770800099,0.5250112892126377,-0.14087226975970607
better,0.0009942438513867052,-0.29813461231505295,-0.5939432994668055
is,0.0019884877027734104,0.7159208642922981,0.4767778207727604
who,0.0009942438513867052,0.2590789010523974,-0.20089308096008213
think,0.005468341182626833,0.3140965503092876,-0.08139356628675673
god,0.0034798534798534202,-1.6637915238225527,-1.834420747639595
makes,0.0014913657770800099,-0.08038839440322455,-0.23245175876468163
way,0.003976975405546821,-0.26611366861799535,-0.23509813806795177
of,0.0004971219256933049,0.3215360011752259,0.18198313793446846
poor,0.0004971219256933049,-0.07201067864979668,-0.2922020491742155
the,0.003976975405546821,-0.6960413977315553,0.38783995256434856
cap,0.0004971219256933049,0.31964939886579075,-0.4974752122345568
happen,0.0009942438513867052,-0.023186416359800906,-0.3126109384940349
done,0.0009942438513867052,-0.4321990542491133,-0.7858153456170165
if,0.0034798534798534202,-0.40076608065600794,0.0715380985436177
open,0.0009942438513867052,-0.27039098372283155,-0.5166693116845915
word,0.0014913657770800099,-0.4610002669256027,-0.3968136291623871
beat,0.0004971219256933049,-0.7749939298882796,-1.0314821106729353
could,0.00745682888540024,-0.3179766363715476,-0.46018436665170936
loss,0.0004971219256933049,-0.04577194664910925,-0.2523845932393919
woman,0.0014913657770800099,4.737277204698471,4.209154754152378
another,0.0024856096284667155,0.27181874624308544,0.4974791783727944
man,0.004971219256933526,-2.5825679166663167,-2.70252877075077
every,0.0004971219256933049,-0.10167621460627604,-0.138056254214836
see,0.004474097331240125,0.06770922222841635,-0.11028841520982399
young,0.0004971219256933049,1.0908441285540396,0.9691565394225741
beautiful,0.0004971219256933049,3.040391145167003,2.327231750321915
she,0.004474097331240125,5.237348669224863,4.420803805776147
