Word,Summed Score
she,1.2705301808655456
i,0.46495284705902423
woman,0.4177975484778483
girl,0.2331796543122767
women,0.20231797818164754
mother,0.17935852753227172
husband,0.11471315664378656
oh,0.09526754782414938
her,0.09292361357869941
it,0.08665827039790205
children,0.08635339913326201
love,0.08317419996541157
girls,0.0824994023852323
child,0.07850342508607709
little,0.06206697517994391
pretty,0.06012576557338958
young,0.05538405384158937
married,0.05154765331966961
wife,0.050459153464908174
really,0.045798248202328105
silly,0.04432895410283758
miss,0.043364136950743766
dress,0.041972479196906165
baby,0.04167805734825939
parents,0.03318253168393869
beautiful,0.03249815260470085
marry,0.029664103920343743
lovely,0.029508040150043602
lady,0.028969072734399248
do,0.02817408723356458
daughter,0.027860328274348083
hair,0.027831146251430756
person,0.027121887368434856
female,0.02695238630262399
mary,0.026037099121517603
bed,0.022920591179440262
wedding,0.022489806351602325
sister,0.02247826732507731
marriage,0.022183501010298142
look,0.021659970590395542
darling,0.021290148710939656
sexual,0.02068916179009815
always,0.020367995571488128
quite,0.019274043365500104
divorce,0.019148380345668396
home,0.018911685674042486
seemed,0.018589579351979087
family,0.018233568334004035
room,0.018114653690977443
beauty,0.017914543490517753
mrs,0.017350178655018
white,0.0167520033400446
loved,0.016701374090406423
nice,0.01669075674042682
queen,0.01664966025939023
sex,0.01658694226927857
school,0.01568001622179517
dear,0.015253342364972753
something,0.014795372583625102
why,0.014671692759624032
thing,0.014305321271990305
party,0.013978936859345504
social,0.013627246740710502
sorry,0.013597121994456549
apartment,0.013491235438499002
tears,0.013471665543300496
elizabeth,0.013415203657497373
happy,0.01333114389500239
mama,0.013249678737015401
babies,0.013098333321843153
alice,0.012968994181855927
play,0.012968316861251012
often,0.012644277717176584
arms,0.012605652718336191
bathroom,0.012339669023458476
sometimes,0.012260144105372928
smile,0.012248136565100825
mirror,0.012009899699465683
sally,0.011811056862168857
someone,0.011744811465364423
glamorous,0.011666931595437184
perfectly,0.011654519700176582
kids,0.011496242998137028
edith,0.01147332984595528
ugly,0.011318771253835026
martha,0.011279644206659006
nurse,0.011269650412555066
sarah,0.011147331180659354
aunt,0.01114208753140758
smiled,0.0110690041107419
madame,0.011032206916975408
laughed,0.010927230017322348
cried,0.010917168944074256
kitchen,0.010916252486958997
honey,0.010909378908267936
kiss,0.010533749051462565
things,0.010514753355061301
annie,0.010385388135565048
crying,0.010327196526153649
dance,0.01015493685134645
there,0.010130084463092853
evening,0.010088470899590286
wear,0.010056699435986487
maid,0.010007477958147415
edna,0.0099859498376191
intelligent,0.009883697455372794
louise,0.009746583386099164
eyes,0.009689432002306856
margaret,0.009640057602903398
please,0.009600389407141545
ladies,0.009484062828333695
teacher,0.00947242981155548
patricia,0.009454716201573978
charming,0.009412183715061091
feel,0.009332837782870635
skin,0.009296284693168719
wonderful,0.009290504276906987
car,0.00922844336420288
jean,0.008986533768126314
away,0.008937487368560799
rather,0.00877269136913165
blonde,0.008736086264618942
jane,0.00860481718506495
charlotte,0.008582257941465183
bobby,0.008497049183067217
dull,0.008327532774558949
program,0.008307641501821958
tea,0.0082329981273985
summer,0.008226128211825213
sick,0.008221590179676337
breasts,0.00821940968475398
worker,0.008206449754587035
grandma,0.008183418446327707
marion,0.008100386377746238
care,0.008097304639786152
ca,0.008086015803009484
gown,0.008056423721768262
adored,0.008006319970311614
skirt,0.007990233825543112
lips,0.007985139905809294
least,0.007970950155905982
met,0.007932404232087143
shopping,0.007913526445529078
pink,0.007840382461822951
paris,0.007773305456585865
adult,0.007727029046383396
daughters,0.0076673974450688865
lover,0.007638260276839955
constance,0.007502010754124136
door,0.007470752791303815
affair,0.007396255253933106
wives,0.007387010628271134
legs,0.00731424421604703
feminine,0.007266510546228615
bright,0.007264974378298521
helen,0.0072228993630118555
wendy,0.007214580198683933
dainty,0.007193462128118861
susan,0.007161654085304562
linda,0.007109255167466944
comedy,0.0071051238365615905
terribly,0.007088702978524285
wholesome,0.007045681020300853
health,0.007030139354300041
story,0.00700680312886147
cheeks,0.006994562466166546
thin,0.006967963646036259
dinner,0.0069574771103611335
anna,0.006935258381582092
wearing,0.006932534479935643
sweet,0.006909163418405962
felt,0.006908956285530376
age,0.006896516920086548
because,0.006838826762111136
hello,0.0067805231429395275
molly,0.006779257951488191
vulgar,0.006779223600986963
pregnant,0.006777974754917936
spoiled,0.006752922062698723
mom,0.0067401600556967756
clothes,0.0067039886451414265
laugh,0.0066947215435814505
mouth,0.0066358548957680605
wet,0.006593327979310051
smiling,0.006574245307046374
simply,0.0065600500632282096
kissed,0.006498628442166662
pianist,0.0064750861768433365
daisy,0.006467870356279579
pale,0.006451568955217266
frightened,0.006428657165729802
doctor,0.006372502276315535
such,0.006359425914651719
jealousy,0.006332031837555205
suddenly,0.006295822570366353
anyone,0.006268825046922179
warm,0.006203023831736134
awfully,0.00620243750461606
window,0.006163312889737767
color,0.006088184245025011
wanted,0.006034977084370691
almost,0.006032288343513497
lucy,0.006026840251767539
funny,0.005991498560764688
housework,0.005987927549237753
feeling,0.005981973996471038
slightly,0.005963723627421422
screen,0.005958688170011622
police,0.0059305251712517115
bedroom,0.005907987781583348
normal,0.00584381450871236
plump,0.005811104065283091
maria,0.005791614995718481
guess,0.005790355396852489
french,0.005735971036929481
laughing,0.005732928659839775
ann,0.00573093094690854
janie,0.005692217795983245
noticed,0.005688445523130565
happiness,0.005650070484518025
karen,0.005639864624200963
expensive,0.005625619077785706
youth,0.005614163651420579
everything,0.0054875426411400965
anne,0.0054353702650719
sort,0.005425447267381969
flowers,0.005419176053335897
