Word,Frequency,Original Loading,Transformed Loading
i,0.030978260869565212,0.10262632108988534,0.7476975947816463
what,0.00495652173913041,-0.20086024570530392,-0.4986455598349391
and,0.00330434782608694,-0.44357179062288177,-0.50743975651058
made,0.002891304347826026,-0.03685794420805215,0.22676008754607788
case,0.000826086956521735,-0.14559905028247747,-0.02422007437333703
to,0.00165217391304347,-0.39364914267330914,-0.34218156796685195
we,0.00041304347826082004,-0.6311577446071329,-0.2543294637959107
yes,0.00206521739130429,0.4092606326131145,-0.07174061595441691
writer,0.00041304347826082004,-0.4029477656765299,-0.19447265334726122
great,0.00041304347826082004,-1.1095177990582132,-0.8453112590939675
place,0.00165217391304347,-0.2740088259611699,-0.41516061720743264
loved,0.000826086956521735,1.7169622711651784,0.9688628937615983
they,0.002478260869565205,-0.011336826216453837,0.12108307390955915
doubtless,0.00041304347826082004,-1.1830228041024975,-1.314216527406416
would,0.00660869565217388,-0.40163000690778616,-0.4036529612406988
basis,0.000826086956521735,-0.6756474050210772,-0.14324815653000875
least,0.000826086956521735,-0.19441942499602488,0.10393236427357513
hands,0.00041304347826082004,-0.03309708948376894,-0.5573384556144781
a,0.0012391304347825552,-0.3593632150281748,-0.28494764652192506
true,0.00165217391304347,-0.3930390683845962,-0.3076385340035537
come,0.00165217391304347,-0.0008718595475759122,-0.0652827069756527
thus,0.00041304347826082004,-1.0751409698985124,-0.8312335423640038
ever,0.0012391304347825552,0.046917674096548165,0.1978695655707125
yet,0.00041304347826082004,-0.32139475578436694,-0.2278144134218376
sometimes,0.0012391304347825552,0.6740861058458576,0.2759526735998534
ass,0.00041304347826082004,-0.40821372624179286,-0.9031451441468106
hard,0.00041304347826082004,-0.4344320888512058,-0.42387335570830037
tell,0.0012391304347825552,0.10484438892623105,-0.2618826095710988
idiot,0.000826086956521735,0.23852666881641924,-0.2802322194906889
better,0.000826086956521735,-0.5667222856643483,-0.7021223713682925
is,0.00041304347826082004,0.06228982629925275,-0.02844829326867827
trade,0.00041304347826082004,-0.3498442573937862,-0.15528648376475912
think,0.00330434782608694,0.11794817192447109,-0.01459994672507052
god,0.00041304347826082004,-1.0498795349275662,-0.8969863045258896
can,0.00041304347826082004,-0.551649198080569,-0.792034572795433
stop,0.0012391304347825552,0.21035659796340772,0.13167356679325642
way,0.002478260869565205,-0.275318227987018,-0.15557550225255373
light,0.00041304347826082004,0.1265325768190135,-0.18863797302026478
of,0.0012391304347825552,0.17629271273955802,-0.11007568775021456
poor,0.000826086956521735,0.44227840429020615,-0.08969973020698128
the,0.005369565217391231,-0.9227471319452929,-0.3310377446036795
done,0.00206521739130429,-0.388533010347901,-0.5684620688439307
if,0.000826086956521735,-0.675201744036655,-0.4006708099015409
open,0.000826086956521735,-0.3224596946644034,-0.4332475946446925
mouth,0.00041304347826082004,0.4216864410582787,-0.34113367347369083
word,0.00041304347826082004,-0.848077919076905,-0.6670581216288743
beat,0.00041304347826082004,-0.543349219308785,-0.5444673654359287
death,0.000826086956521735,-0.13005275605742675,-0.07147154939217079
could,0.0037173913043477584,-0.46467547873136483,-0.37192651758425105
loss,0.00041304347826082004,-0.6133262383865531,-0.6638601750656846
woman,0.000826086956521735,4.360321365486028,3.802867283420293
another,0.000826086956521735,-0.16139517202534825,-0.10887994395875311
man,0.002891304347826026,-2.356902898005491,-2.1990786900524055
though,0.00206521739130429,0.26393088861706343,-0.062432057767991364
hated,0.00041304347826082004,0.8651196632136188,0.12968154221112374
believe,0.000826086956521735,-1.1590330554128714,-0.8613683322323263
every,0.0012391304347825552,-0.2095644939743911,-0.08962306389647687
try,0.000826086956521735,-0.1701068862001828,-0.16404555651360447
see,0.00206521739130429,-0.2692162623493207,-0.7079035060888186
beautiful,0.00041304347826082004,2.417244555321356,1.6500377522837337
she,0.007021739130434702,5.019275139023547,4.382840103446679
without,0.00041304347826082004,-0.6277256207380646,-0.5750547925278442
saying,0.0012391304347825552,-0.17917989205660798,-0.12840464189255593
change,0.00041304347826082004,-0.42914146209621507,-0.2784194452052605
he,0.01073913043478256,-1.6135534168522188,-1.6304322944795306
already,0.0012391304347825552,-0.6173701688089623,-0.6121712036933659
walked,0.000826086956521735,0.594415495346621,0.17339521249564258
john,0.00041304347826082004,-0.866130295268125,-0.629239379586876
leave,0.00041304347826082004,0.27896168193617343,-0.07123939767559433
it,0.00660869565217388,-0.26895534609070915,0.21493127388454503
well,0.0037173913043477584,-0.10751880969047553,-0.8273132727645143
must,0.000826086956521735,-0.2168210984443681,-0.1261011838919478
draw,0.00041304347826082004,-0.6503979095263952,-0.4123933869321162
hear,0.00041304347826082004,-0.10858329921306926,-0.5296950834960732
part,0.000826086956521735,-0.5758382482055536,-0.3505134014172392
world,0.00041304347826082004,-0.4483361265146186,-0.14468929253756327
with,0.00041304347826082004,-0.7093694958069826,-0.6541731040432983
brought,0.00041304347826082004,0.16149888667213208,-0.07948080975953623
us,0.00165217391304347,-1.0992725384906126,-0.8104774931312809
less,0.0012391304347825552,-0.06215727065675676,0.07200979939416771
one,0.00660869565217388,-0.46442512181818374,-0.04092719974170483
away,0.00165217391304347,0.05010865121812604,-0.08649646177065994
men,0.0012391304347825552,-2.101921379453239,-1.968770668273402
my,0.0012391304347825552,0.7714357369008531,0.21119229172461482
got,0.002478260869565205,-0.11375503087973766,-0.09053253026220291
two,0.00165217391304347,-0.2694927756094081,-0.285529938930294
came,0.000826086956521735,0.15794137992239382,0.07605139028284633
no,0.0037173913043477584,0.11820725134600785,0.12826491129906387
ground,0.000826086956521735,-1.1094222837558552,-0.9931892321716719
eat,0.00041304347826082004,0.8128060180654968,0.0046375019168152926
evil,0.00041304347826082004,-1.312021681580204,-1.1763250929272282
possible,0.00041304347826082004,-0.801758545828975,-0.49258892795810033
reason,0.000826086956521735,-0.48812246547451776,-0.3357129248548746
became,0.00041304347826082004,-0.23047503823019574,-0.36285154157296745
insane,0.000826086956521735,0.49369376603968035,0.3395789393073764
blind,0.000826086956521735,-0.15013357064727145,-0.30122204738576663
therefore,0.000826086956521735,-1.1402847684115887,-0.7648687288553042
head,0.002478260869565205,-0.09435469367608511,-0.5320231370944366
start,0.00041304347826082004,-0.5588561241593899,-0.5563554186986664
parents,0.00041304347826082004,2.80211275428936,2.183851976109247
silly,0.00041304347826082004,1.398633561013663,0.9076786130299512
unable,0.00041304347826082004,-0.28211109485129426,-0.17747947447032325
might,0.00165217391304347,-0.19629769968685656,0.10950619950119007
conclude,0.00041304347826082004,-1.708701335047796,-1.5065833547268022
wisdom,0.00041304347826082004,-2.026159703679488,-2.2224063821472675
people,0.00206521739130429,-0.7031100718136412,-0.4476258062104278
go,0.002478260869565205,-0.46037783678653915,-0.7839719672353553
left,0.0012391304347825552,-0.016570119521488177,-0.3404177465492104
enough,0.00165217391304347,-0.4422404435757515,-0.5101172606677427
turn,0.00041304347826082004,-0.996442754598202,-1.1553761296565692
waste,0.00041304347826082004,-0.5239343873261755,-0.769653752213273
little,0.00165217391304347,0.5432283520166072,-0.022632271188903912
wheel,0.00041304347826082004,-0.16190985372946803,-0.34428324111060626
time,0.0012391304347825552,-0.4527294631274249,-0.09198143762842792
circumstances,0.00041304347826082004,-0.048745973959031755,0.0284092011661236
like,0.00660869565217388,-0.11730740623850992,-0.48272730447634177
many,0.00041304347826082004,-0.7275897955851264,-0.6168299534446378
take,0.002478260869565205,-0.7677002964892738,-0.6874374457252312
lives,0.00041304347826082004,0.10117345068524411,-0.05232371329526433
all,0.000826086956521735,-0.30864143501351193,-0.7023281540920522
teach,0.00041304347826082004,-0.18750007258545814,-0.45769050767005603
seen,0.000826086956521735,0.5970294185993639,0.20633223365202746
saw,0.00041304347826082004,0.28462684557933077,-0.21169896958734508
instance,0.000826086956521735,-0.3514070857483272,-0.20806481566669746
lying,0.00041304347826082004,0.9094448964048037,0.47402827657428476
neither,0.000826086956521735,-0.14018768104807985,0.015130476547045737
even,0.00165217391304347,0.08907914908741504,0.07269509391031317
seem,0.00041304347826082004,0.08560453452656143,0.1424856931842275
know,0.00495652173913041,0.2756252227409052,-0.05661180149013234
provision,0.00041304347826082004,-0.624219284485161,-0.25233652666639517
so,0.00165217391304347,-0.08142512404042554,-0.4038248470661424
full,0.00165217391304347,-0.6173907600501842,-0.5993359792881672
good,0.00206521739130429,-0.6086742237839655,-0.8349336105197349
