Word,Frequency,Original Loading,Transformed Loading
i,0.027624113475177247,0.18304123292027225,0.31709397134108286
what,0.0033687943262410945,0.10505012602973365,0.08304017906385515
and,0.008085106382978683,-0.09093486045220982,-0.13899865727785707
made,0.0020212765957446,-0.29392029582962154,-0.33977651161562583
case,0.0013475177304964,0.17294618606002443,0.3478855599492957
we,0.0033687943262410945,-0.4859725399889162,-0.5163382382102142
yes,0.004042553191489294,0.5471888966911369,-0.022101128155430007
great,0.0020212765957446,-0.978239552699234,-0.7590407600583319
beasts,0.0006737588652482,-0.36311464478490485,-1.0379197711587402
prejudice,0.0006737588652482,-0.5098782308318284,-0.3673815122703407
loved,0.0006737588652482,1.731039268007827,1.0533941761011492
real,0.0006737588652482,0.2857497796370688,0.09546369768671611
they,0.008085106382978683,-0.059981899138052075,-0.05200396340574037
would,0.0033687943262410945,-0.7683557328103328,-0.3958641188476729
exactly,0.0013475177304964,0.33834275268711955,0.17523265987496078
least,0.0013475177304964,-0.06676732382986647,-0.10631273006655846
others,0.0006737588652482,-1.2480639985806572,-1.0074840769288378
hands,0.0013475177304964,0.04116060582174087,-0.3673805431952676
a,0.0033687943262410945,-0.1127858808378301,0.0860165346496709
true,0.0006737588652482,-0.542006810793515,-0.398757141101643
fool,0.0013475177304964,-0.45198375362755205,-0.8321097510486576
come,0.0020212765957446,-0.018293372070678906,0.12740021291556264
ever,0.0006737588652482,0.10229452621488384,0.3496760626047624
sometimes,0.0006737588652482,0.33675237492512217,0.13773168562491192
ass,0.0006737588652482,-0.4046601022063717,-1.0441201211882951
tell,0.004042553191489294,0.27955729977206883,0.010856723494567812
who,0.0006737588652482,-0.04768194866612879,-0.3244235879427734
think,0.004042553191489294,0.19341395993389063,-0.1762309782395127
god,0.0020212765957446,-1.2742772336950388,-1.1408785451969614
stop,0.0013475177304964,0.04404072580680346,-0.21093354060302416
thee,0.0013475177304964,-0.3978191017955909,-1.0473787026578674
way,0.0026950354609928937,-0.35450133901415076,-0.18978551717084854
poor,0.0006737588652482,0.2838571331759983,0.04139354214880631
countrymen,0.0006737588652482,-1.8699724264887578,-2.0476424753846745
the,0.006063829787233988,-0.7436867786653278,-0.14664727045210818
done,0.0006737588652482,-0.4431117056300741,-0.6720504145636997
if,0.0026950354609928937,-0.6429914920908251,-0.16871604970487228
mouth,0.0013475177304964,0.4460156131302666,-0.20931196921833176
word,0.0006737588652482,-0.6078052439596473,-0.4475980815812182
death,0.0006737588652482,-0.1760807853754753,-0.23373827956765938
could,0.008085106382978683,-0.6079934752030587,-0.43062774251930447
woman,0.0020212765957446,4.447920297336059,3.656551888982792
another,0.0006737588652482,-0.050011740897398405,0.30069830627390703
man,0.0033687943262410945,-2.415558142258384,-2.3888594884820527
though,0.0026950354609928937,0.2054023972968982,0.005848787647230773
hated,0.0006737588652482,0.7292256612413937,0.15601738612235344
lose,0.0013475177304964,-0.7484127479593409,-0.539489555688398
heart,0.0013475177304964,0.33954476496836955,0.04546593384427137
believe,0.0013475177304964,-1.106473837910737,-0.9192332430048797
see,0.004042553191489294,-0.14513282223910498,-0.30847976975457886
beautiful,0.0013475177304964,2.817852789663419,1.933787620920872
she,0.0053900709219857875,5.108499126219084,4.350845698496289
business,0.0013475177304964,-0.7600914421128391,-0.7014564610491802
change,0.0006737588652482,-0.2405088707256715,-0.36918204960393036
he,0.010106382978723374,-1.3632032418047206,-1.4435829878720763
already,0.0006737588652482,-0.7052347267577762,-0.5227992285748679
john,0.0013475177304964,-0.8627116651297466,-0.6007717408714944
leave,0.0006737588652482,0.270608239079774,-0.10153360901171893
it,0.006737588652482189,-0.34036901222649524,-0.20551370730139093
well,0.004042553191489294,-0.01763035113776839,0.19165243809774318
must,0.0006737588652482,-0.3150214965173269,-0.019107896662724732
hear,0.0013475177304964,-0.08981645690267417,-0.2522403711478761
sleep,0.0013475177304964,0.9262721303102888,0.3274976131139413
world,0.0013475177304964,-0.5061835638429171,-0.2500537176493369
natural,0.0006737588652482,0.34026153027020445,0.2695534336069983
brought,0.0006737588652482,0.008523630397839821,-0.15327928734736462
us,0.0013475177304964,-0.8545088565515806,-0.5826428776109954
one,0.0033687943262410945,-0.40802872545974544,-0.03135416249975212
away,0.0006737588652482,0.01002153416350733,-0.5687793592387347
use,0.0006737588652482,-0.3882419176041962,-0.0690001262074612
men,0.0013475177304964,-2.1949479569154384,-2.2188375357940258
